group,headline,scheduled_date,date_status,confidence,source_type,source_url,evidence_summary,tracking_status,review_reason,recommended_action
BABYMONSTER,BABYMONSTER’s B-Side Track From Two Years Ago Makes a Reverse Chart Run… Reappears on ‘M Countdown’ → Live Clip Released,,rumor,0.7,agency_notice,https://www.ygfamily.com/en/news/report/7372,BABYMONSTER’s B-Side Track From Two Years Ago Makes a Reverse Chart Run… Reappears on ‘M Countdown’ → Live Clip Released BABYMONSTER surprised music fans by rel...,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
BLACKPINK,Blackpink Sets New Record As ‘Deadline’ Tops First-Day Sales Among K-Pop Girl Groups - Outlook Luxe,,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQREV5ZV9pTDZyVFVyS0JqTDJEbWJGMzh0UDhwcnFKLVFFbDhmVW5rcmVrdGt5cTFkR1BHSzQ4Z0dBZG9RNFBXQVN5UlRKcGF0V1Bycm1KT2ZObWRpS0FBZll0N2RrWjlYWTZlQ3M4Nk8zc2o4dzFMcnlmTzFVMk4zcGZKUms3eFNMQzlLSzN2UERxVmZOOGVyWm90Tzh2b0tHVlJUMHdVZjU5Z0QzWWFibGhEYWtRbzRuNHBZ0gHIAUFVX3lxTFA5LVQ4Uk41RERaWnk5UXh0eC1MTEppZWVTd05yVGlNeEs0UHVKRnExQ3hBcFVsX2wyUmp3Z1U3Z0Q2R3hWcFdBU09hVHV1blJ6VHIyTEgxTnNUc0V5VmxWOUt1S2hwcm11QmRZdUY5c3dfTGZPWE5MT1IzQndIdkUzVHF6NDhCaE9ZeWc5T1JBVlg3MURjV2hrVVVuRDV5ek1LdlRTS1lSTFNCemJxa0t6VlN2bURxM3Uxb0tMRXl0dkJSU3FQbm9l?oc=5,Blackpink Sets New Record As ‘Deadline’ Tops First-Day Sales Among K-Pop Girl Groups Outlook Luxe,recent_release,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,BLACKPINK’s New Title Track Is ‘GO’.. YG “Created with Great Care”,,rumor,0.64,agency_notice,https://www.ygfamily.com/en/news/report/7378,BLACKPINK’s New Title Track Is ‘GO’.. YG “Created with Great Care” BLACKPINK has unveiled the tracklist for their new release. According to YG Entertainment on...,recent_release,inexact_date,Keep the candidate in review until an exact date appears.
BLACKPINK,BLACKPINK Finally Reveals 'DEADLINE' Mini Album Release Date - TMZ,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMicEFVX3lxTE4waE5xc2U4eWNJaFhldTl2aGZEdGRxYl9DTVRRYnQ2Sk5rRGMtX2JHVVhiWFV3VTZJdUc1b1VoWWdmM25vcXhDb0dKSlBlanpHSlh2NDlHQ1hEMEtCalpvdkFudzNKZDJ0Y1VnVlpwOTA?oc=5,BLACKPINK Finally Reveals 'DEADLINE' Mini Album Release Date TMZ,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,Blackpink Sets Release Date for Comeback Album - Pitchfork,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiekFVX3lxTE9Ucm80bHB0cUYwcHNhZkJxaWM1MnA5SnJUVzk0ZkdyQmg3b0Q2SXFudk41aXVRN1RjLURta0tvemNPdl8yaE10cVdHbkc2d3dnM3VxSDhtNWhlSGZtM3RYNzJFVThxRzhqWlFjSzR4ekNGM04tLWdWWW9n?oc=5,Blackpink Sets Release Date for Comeback Album Pitchfork,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,"Blackpink's DEADLINE sells 1.46 million copies on day of release, sets new K-pop girl group record - The Korea Economic Daily Global Edition",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE94bmhvU2RuMVBXTGNpS1VMaExLUXN6c0lCekxVbm1KTy1McTNvTkUycE1KNUl1c0U3b2c5ajh3cE9WSEs0TGJwNlgyZU9LX3JHam55VVhGX3h2SDBoaUdtcGYwWmdGdHc?oc=5,"Blackpink's DEADLINE sells 1.46 million copies on day of release, sets new K-pop girl group record The Korea Economic Daily Global Edition",recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,"Blackpink’s Jisoo Shares Love for Album ‘Deadline,’ Talks New Netflix K-Drama: “Blinks Will Love It” - The Hollywood Reporter",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOcldhb1d6S2hhMDQxTDZndUlEa0VqLXROcEJucWkxLTZxdFNha25nckc0LWxVZ2I3MHhnVk0zX0xfM3NnRlpnaW9MemF5U3VnaTRyZWlYRVI0YmxtN1Y0T0U0WmxuZmNqVWRxeDNsaVFOeXpzNGJrSVVsSjEtMHlnMGRBT3hpNDl2RW1IelNpVzdYWTBrNXlZUFNZZHN0VHFkVG1RZERvT3k3SlE?oc=5,"Blackpink’s Jisoo Shares Love for Album ‘Deadline,’ Talks New Netflix K-Drama: “Blinks Will Love It” The Hollywood Reporter",recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,K-Pop girl group Blackpink drops their third mini album Deadline - Indulgexpress,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMivAFBVV95cUxQVG9PNFdjS19QUkVoYU95M21Rb2l5em5EQUVZSzZrcU9qa1hYMWRQSGRnc3dJZDFUYWtBcWstQVREcEw5c3BKc2M5WHJETHB0LUlFTGI3dmFKbXdBbWRtOEZRVTVzZ29UWTRaLVJ5RnhDc25IS2ZsRVNTTXVTWnEtZENIdTVDeUVmM0ZGTXlBSnNBek1aSEs0TFJ4UndGTjVYMDdZWVhmV2tPc092MDN5WnZWYlBiNkJ5M09nbNIBygFBVV95cUxOWlFldno4Y0RLNjhoRFkxN29BT2J3WHdBaFN6THNuYk1HbEZUdzAwSzA5T0U5V3QwVWg1WDZCQUs1S0ZVdDVnSXo3TGpCeTNsZm5tS1VsRDZoVlhyR3doOFNEcVVTVEJubVJTLXNIVG5RX21xN3BEc3preXJVREU0MUVlU2JMalh1Q0QxamJhZ0xIcHFKcTNDV3V4RHFKeV9qZ0dnS2IySkJNaXBVU3lvRDA0eXhYbS1BZFdEbVZBclJQcU9UeFRhUlBB?oc=5,K-Pop girl group Blackpink drops their third mini album Deadline Indulgexpress,recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BLACKPINK,"K-pop group Blackpink announces new mini album Deadline, out Feb 27 - CNA Lifestyle",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMirgFBVV95cUxOUFhWaFpuYnA5UDVRQmR0bHhuS2NIS2pfa255aDEzNGlFMHUzQ0p4MVRRLVVGUm13czJyclV5d3Rhd2xCakNqSmNaaDRtdkZhSWxqbk1VbWc0RzdMX3FjZ1RQTEY5RTV1czR6a3pXQmR4RS0wVVZNSHo3QllWLTBidzlESGpVNGwybzZ1Ti1Wc2VuLXE5WWk1U1Y2QlBtY1JWWXp6cjF3VGZwblhfclE?oc=5,"K-pop group Blackpink announces new mini album Deadline, out Feb 27 CNA Lifestyle",recent_release,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS Is Dropping New Music in March — and Heading Out on Tour - Rolling Stone,,scheduled,0.46,news_rss,https://news.google.com/rss/articles/CBMiswFBVV95cUxNRFN4WmFDZXZacnlkSkZPUWZVa1JXaHF1emhsRW56cmFQdnpJTGpuOUZKeU9WRXp5WVJMV0d2c1NLUnV0bXBickp1LTRTRXhkY21WaFRnbUtiNG5YOFNVNDBRTG93MzVRS3JHZTBOdXE2bURiZ1VyQ1ZPV29ua3BCZXJ1OW9tRWdzaXk0d3kwNHl1bnlCT1hOUVp3VmRSNFZLZkV6WFVOZ1ZqRndCb1FaRmo3aw?oc=5,Future month reference: 2026-03. BTS Is Dropping New Music in March — and Heading Out on Tour Rolling Stone,filtered_out,low_confidence ; inexact_date,Review the evidence and confidence score manually.
BTS,BTS announces 14-song tracklist for Arirang – Check full list here - The Financial Express,,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPTWtHNjZQZFVvME9nWnlMZlREUm5vaDBUVmQ3aG8tb1RwRWotczBfd2x2LXV5cjNaRVZ2WDZUYTRxUkNVeWdYLXpFRUpDdUJkMkR1Xy14WUpQNEd2MDRXYXA1VGxKcm80WlBSWnhHaEU3U2JQV0JzMGZpaXRwWWR1bWF3N1VyQWJWVHFsUldiRmxwWHJZaWxndzMyTVRpd2ZyQThOeTFFZjB0TVctY2RzdDBURUFhekk4dWlDRlRPazVubmxhRVNCN0N4MHlXcUFaazhXMVFB0gHcAUFVX3lxTE9uV0lRWU90QjA5MVhObHBJRFNuSjF4MzQxR1ZsTjF3SnY4RDdQRXZkcTVvMFhWaFF6QzZuNUZRR05MM1FleExJaGUyNk84MlA3YnNwX1NKZzJBeUM5N2xXRUUyYTc1SG5zeFk5NzhiWWJaY0tHUERBRXdldmN6amRNTEwzbmRWa25Ba1ZlUlR1RnliYzdJYmV1VnRqb2w5YnViXzB0dU1XM2owSjV1dVBaaV85OHBhd3pYWEttRVFEZXB1cjZTMXMxSFJ4V0Q4QmUwS3E1elJVc2EzVGI?oc=5,BTS announces 14-song tracklist for Arirang – Check full list here The Financial Express,filtered_out,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"BTS Reveals 14-Song Tracklist for Upcoming ""Arirang"" Album - Tempo.co",,rumor,0.56,news_rss,https://news.google.com/rss/articles/CBMikwFBVV95cUxNWXFTZTFic0o2TTA5R1FOeXRMcklVWFYyZGl2aEYzWU53NHMyVDYzdVBSSVp1S09XVVFYSXN3dWtiSkJuZldFOGwwalZ4Y21rakgtM2hvbWNUQlN4TndjUVE1ZFk4dkswamNVZ1RGYzdxRlpCNTdDTTU3NnVEUlN6M1VieERleDhsaFI2ZmhJWXVCemM?oc=5,"BTS Reveals 14-Song Tracklist for Upcoming ""Arirang"" Album Tempo.co",filtered_out,low_confidence ; inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS Confirm 2026 Comeback with New Album and World Tour Set for March - L'Officiel Singapore,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOR3N4UWhOY3IzQXk4SlFCVnRVTDdrdEkyUkI4bGpUOFNpb2xYczF5SUhOX0RNQ21pcTFWYzl4bTFPZEk3ZU04bFVnXzBWTUNLT3lqR0JsZTItN2xacTNQVnpOZHRxbnl2d1FPczZXeFBDbTJjdGpOQjhPVFh4cHZ6VDlZZmUzNjduR2l2WGZyV0ljb0poY1ViRGF2QTRuLTNUQng3VDFrbDJmVmtzNXdsRHFsbS1OSllfMGpJcjN3cGt1UQ?oc=5,Future month reference: 2026-03. BTS Confirm 2026 Comeback with New Album and World Tour Set for March L'Officiel Singapore,filtered_out,low_confidence ; inexact_date,Review the evidence and confidence score manually.
BTS,Netflix Will Livestream The BTS Comeback Concert This March - AugustMan Singapore,,scheduled,0.58,news_rss,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQcEh4M2dBTVVpTkE3R3k5VVZycmVyXzZQZzFLVmttbE9RdjZ5cFV5cEtLVHVucWZkd2ZrWDBpZWYzakRWQ0ktb0drYmx0NnpPOFA4djhRcUtwMkx1WmxRVnkwRjRIWll0cTJMWmJoTjk4SkRGSkR1bFo4UEFkbGZzaUxrQ2ZRTDJ0TXRhc2dwVC05azNnNEIzNFpvOXJJU0N5S3ZCY0I2ZDRXVWRsSktMMFNrNmxsY3ZUNWR30gHAAUFVX3lxTFA1TXdOZThUb2JmSnc4Y2toR3hHWVJnMTlYSlVpVzZ2RjU0OENncHFQTmdocks3Q3dzVjJlQmtkMzhKUDlWeDhNMzJtRGthdTRSajBieVNnaWxfQWFlZ3BRVjJHTE5EcWZGQjRYNUZJN1lESUl5WmJnXzcxUWpwdE5qQUFuWTFTRDk0RDhaYUQ3TmJhLWx2Zi1lM051SWk2MTQwQ3RaaHhiaklxVVA1NnFOSnNGdzc2dDhkckJNdW9Vdg?oc=5,Future month reference: 2026-03. Netflix Will Livestream The BTS Comeback Concert This March AugustMan Singapore,filtered_out,low_confidence ; inexact_date,Review the evidence and confidence score manually.
BTS,BTS Announces The Title Of Their New Album: 'Arirang' — What Does Arirang Mean? BTS Album - L'OFFICIEL USA,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNQm1fTFhxbG0tNlF4aDJzeGNSTnRWc2xEYTFPR3lHcWZDTV8xYnoxdkx2YXZFa1hNUzBWdGtpb1p4MmM3UTdlOUx0ZDk1aHdhVlU3bk5ldHg0Rmx1Y0VCRDZoSU5xdm9ZNG93ZmNNdENtYVBvMndUSU80bHVfakxmeDRYYl94VmhUaU5oTjlzNFY0QzdKV2NydkUtWkpPcjRrUC1Mbk9BVVo0SlZqc29lOGNXTUN6bTZBeU9yTWg2OElGMnRzeFJmckZmWjVqNXEwMjVlbjJOZEJmQl9kYTUtcg?oc=5,BTS Announces The Title Of Their New Album: 'Arirang' — What Does Arirang Mean? BTS Album L'OFFICIEL USA,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"BTS Comeback 2026: Netflix Announces Global Livestream for ‘ARIRANG’ Album Celebration, Releases First Official Trailer - pragativadi.com",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQVHZfVWUwOV9iX09xMDRQc0phUFVtNkVtMHpGY2xKQWNuT2ZXVTdrdW9mTENNamVyWUxkaTNTbDNRR2c0OENTeF96X2gyaEZLcU9GcTQ0SWR2bEhTWUZQcExnQkFEVG5DU2hUaDk2WEQtd09hNTR2QTMwSnlRWC11cjJsYVB4SGtBZVhZWWNOSHliV0M5WjdrQmUzbE5ub1ZGbkJNMFRKQ09hcThsX3RlSEtDNGdaYlBvQzZyNnktVEpkUERJWDZPS29HMFRaV0R4WEF2RlRpNA?oc=5,"BTS Comeback 2026: Netflix Announces Global Livestream for ‘ARIRANG’ Album Celebration, Releases First Official Trailer pragativadi.com",filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS drops full ARIRANG tracklist comeback album features 14 songs including lead single SWIM - Moneycontrol.com,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNNmQxX0NJNkpqdTlSM3RUME45Z1A2cVVobTFUMnlHQllPWGoxOU9PYzZzNWNrdlNDT0doWEhGbndnejdOOGFERC1CRnRBVG9aOG0tbWhONWZtNWJyaTh1SGNJQzFvNEN1Mk9ib0ZZTUdYYnVEb1g3V3JnbmZ5dndUNEFuVUhteHQxQ2llelpCSjdhX20zLVVUQmpzM3FyMks4R2JlR3BXeFltaVBxVFF0NHlWX191NUx6ZXJJNG1ZYVcxUVFwYnh3UWh1cjFvRldvcVdWMUtSakYzNG9IZ045R0dHRGtWaFdtSDMwbnRBWndUSkNFbDJj0gH8AUFVX3lxTFBDOTdlV2tvTU1pT0lZd1FhTXpJU21uU0pMdjMtV2hkckN3bUVkTWw5SjA4dE5HdGc2em1YZDJLME5KQXVwcUZXMWVtelRPdzZQeDJ5Wmp0c3Vib3gxelV4eHhHWWkwRnlrVWpKWWxoc09PVGVWbG05S09Bclg3WWdlOHhrZTlSWkNsT0thT0hVV1dUeFNZT0dYQklIYTVKVXNaOTBPSV9EY1hqcVRPOWY1VEY4c0tIMDVIekp3NHItaEg3Q05id0c1OHlwbUQxNzhnQWhNTWNaNHlQSlo4cHJ3SkMyVVFTWnJGdnFkWVZRdDh4MVVrTF9iUmVEQQ?oc=5,BTS drops full ARIRANG tracklist comeback album features 14 songs including lead single SWIM Moneycontrol.com,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS drops much-awaited tracklist from new album 'Arirang' ahead of release - ANI News,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMizwFBVV95cUxNeHZjRXkxZEZUck80UzhqZmMtX3Z1TG1wNnlDZ2ZDMnRRSkg1SHQzWGt3VFR3bHhvY2JSMDJ5bUUtdXp6bnFaYnlfZ2lrc2dPQjhSZTZndDJoM0JuX1I1eldSMEc3R2k0bGNsc1pUQ0lqMDc3UGZtNkk1YkswNUkyRFlQMnpzNjRUX25EQ2xvUGpJc2Z2eFBhQTdiVTRJZG0xbS1KblJDTmFvZ0FWdkFvTzJwMUJqRzRfOVFxZVpRaVNGR3lRQ3ZpWkFEN2xseWvSAdcBQVVfeXFMT0RsNFJGVS1MeWRFRHFRQnF4ZFc3Q2s4Z0xaQXVjVHVjQzlJMVpaR01iWWtSNEVDWXFGUVBtSDVBOFdCbDhkUk1OMWk5Uk5HUWdKM0RWcVNkTlREUk9aUGROUlNZWmgwenBBWVBIT1VDOXZYeFItS1gzQzZ4ZFJOOWlzQk8tYnZ6c2NnRWZiaUxMUDhMbzRmWDRIc3NpWS01T0tGUkJGbllkMktIOXEyTFVUVTZUOTlYc21XbzNNUFNMNDZhSjFnSkpEQ3RlNGtzSWE4R2hmaHM?oc=5,BTS drops much-awaited tracklist from new album 'Arirang' ahead of release ANI News,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS Drops Netflix Trailer For ‘The Comeback Live Arirang’ Livestream - weareresonate.com,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNLTVHQ2NrY1k3QkJNdXRUdzhEYjVOQ1gzNVAyeEtYa2dCRjNpbll5S21rcTdIQmJQbml2dkVyM0NVbHhtOVhfQ3VtTDhJdUhsSDR5RUtMQ0M1UFhIRzdqZHhLa3lrb0tGRnBQdXRHUFNDZm5Sc0F5TlRRVnpSNlFpUVVBemxKU2ZLUGZwX0g4Qk1qM1ltNTVHTDFWY2o0aW85T2VtNzd2VHg?oc=5,BTS Drops Netflix Trailer For ‘The Comeback Live Arirang’ Livestream weareresonate.com,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,"BTS drops ‘The Comeback Live | Arirang’ trailer: ‘Seven together, we can do anything’ - Telegraph India",,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMiogFBVV95cUxNUXB3dTdCb2pPZ1pzQW03UFZQcjNrWWJaMk9xZnNxVThObHlyRUVkRHhnZHVnZ3g5bjZVRklIV0pfSXhydEJVUHNybzFpSXFDWWpyNHFzRDdGT0JnaGhGdnJOSEp5Qnk5UlY0aElTZFRBQjRTZzBSLTBKNlNXdGxUOXdZN3YyQk1oU00yeE5UNHBuVkh1bjlITG5MQWFEZUQ0RXfSAacBQVVfeXFMUFJObXlWUFRBUEVCVmk5STZaRjlGY0NuUHBGV3l4WlBhUGNUdmlkS1JfZHZ3S3F2UVM0TkRfRWxTTjZSZUJLQVNpTGRhblVJVWNzNDlDc2NqbkxFekRYX0NYMERmS01tZlhSTW41VVdzdmlwT1NVZlg5TUZQVllLQ29ka2duNXN0WFlkb0NUU1E5WE5rcWFkakRRWUUxSWRCQWxmSEVndUk?oc=5,"BTS drops ‘The Comeback Live | Arirang’ trailer: ‘Seven together, we can do anything’ Telegraph India",filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
BTS,BTS reveals new album title ahead of long-awaited comeback - The Independent,,rumor,0.68,news_rss,https://news.google.com/rss/articles/CBMipwFBVV95cUxNM2oxa3pkS2tUWTJZWlp1clJEOHd2TGdoR2NhUU5uWGxoUERIU3hsaU1SMm5KMlRvc0JNbkxxNXZtWngyb0xkVWdYa3UwNWlrbGxsY2J5VEJKcXlub0tKUXdhOUVPc0MtQnNwcWV3V1FiWUd2T2dkckY5REpta1ppdFBBUGRNMFU2OW96QXJBc3U2NUFocGxQbko2NVZzVnhoOVhTc1ZJNA?oc=5,BTS reveals new album title ahead of long-awaited comeback The Independent,filtered_out,inexact_date ; missing_source_link,Confirm an official source and exact date before promoting the candidate.
